ProcessID,SampleID,CollectionNotes,Project Code,BIN,OTU,Collection Date
ASSPQ724-09,EE-109-88 P1,"Plot 1_Site composition: 98% balsam fir (Abies balsamea (L.) Mill.), 1% red spruce (Picea rubens Sarg.), 1% red maple (Acer rubrum L.)",ASSPP,BOLDAAA1517,OTU-105,04-Apr-1988
ASSPQ725-09,EE-111-88 P1,"Plot 1_Site composition: 98% balsam fir (Abies balsamea (L.) Mill.), 1% red spruce (Picea rubens Sarg.), 1% red maple (Acer rubrum L.)",ASSPP,BOLDAAA1517,OTU-105,04-Apr-1988
ASSPQ727-09,EE-184-88 P1,"Plot 1_Site composition: 98% balsam fir (Abies balsamea (L.) Mill.), 1% red spruce (Picea rubens Sarg.), 1% red maple (Acer rubrum L.)",ASSPP,BOLDAAA1517,OTU-105,05-Apr-1988
ASSPQ728-09,EE-225-88 P1,"Plot 1_Site composition: 98% balsam fir (Abies balsamea (L.) Mill.), 1% red spruce (Picea rubens Sarg.), 1% red maple (Acer rubrum L.)",ASSPP,BOLDAAA1517,OTU-105,07-Apr-1988
ASSPQ729-09,EE-227-88 P1,"Plot 1_Site composition: 98% balsam fir (Abies balsamea (L.) Mill.), 1% red spruce (Picea rubens Sarg.), 1% red maple (Acer rubrum L.)",ASSPP,BOLDAAA1517,OTU-105,07-Apr-1988
ASSPQ730-09,EE-228-88 P1,"Plot 1_Site composition: 98% balsam fir (Abies balsamea (L.) Mill.), 1% red spruce (Picea rubens Sarg.), 1% red maple (Acer rubrum L.)",ASSPP,BOLDAAA1517,OTU-105,07-Apr-1988
ASSPQ732-09,EE-6-88 P2,"Plot 2_Site composition: 77% balsam fir (Abies balsamea (L.) Mill.), 12% red maple (Acer rubrum L), 8% red (Picea rubens Sarg.) and white spruce (Picea glauca Moench.), 1% eastern white pine (Pinus strobus L.) and 2% other hardwood species",ASSPP,BOLDAAA1517,OTU-105,18-Mar-1988
ASSPQ733-09,EE-8-88 P2,"Plot 2_Site composition: 77% balsam fir (Abies balsamea (L.) Mill.), 12% red maple (Acer rubrum L), 8% red (Picea rubens Sarg.) and white spruce (Picea glauca Moench.), 1% eastern white pine (Pinus strobus L.) and 2% other hardwood species",ASSPP,BOLDAAA1517,OTU-105,18-Mar-1988
ASSPQ735-09,EE-64-88 P2,"Plot 2_Site composition: 77% balsam fir (Abies balsamea (L.) Mill.), 12% red maple (Acer rubrum L), 8% red (Picea rubens Sarg.) and white spruce (Picea glauca Moench.), 1% eastern white pine (Pinus strobus L.) and 2% other hardwood species",ASSPP,BOLDAAA1517,OTU-105,01-Apr-1988
ASSPQ736-09,EE-156-88 P2,"Plot 2_Site composition: 77% balsam fir (Abies balsamea (L.) Mill.), 12% red maple (Acer rubrum L), 8% red (Picea rubens Sarg.) and white spruce (Picea glauca Moench.), 1% eastern white pine (Pinus strobus L.) and 2% other hardwood species",ASSPP,BOLDAAA1517,OTU-105,04-Apr-1988
ASSPQ741-09,EE-1095-88 P3,"Plot 3_Site composition: 50% balsam fir (Abies balsamea (L.) Mill.), 36% red spruce (Picea rubens Sarg.), 14% white birch (Betula papyrifera Marsh.)",ASSPP,BOLDAAA1517,OTU-105,06-May-1988
ASSPQ742-09,EE-1100-88 P3,"Plot 3_Site composition: 50% balsam fir (Abies balsamea (L.) Mill.), 36% red spruce (Picea rubens Sarg.), 14% white birch (Betula papyrifera Marsh.)",ASSPP,BOLDAAA1517,OTU-105,06-May-1988
ASSPQ744-09,EE-2105-88 P3,"Plot 3_Site composition: 50% balsam fir (Abies balsamea (L.) Mill.), 36% red spruce (Picea rubens Sarg.), 14% white birch (Betula papyrifera Marsh.)",ASSPP,BOLDAAA1517,OTU-105,07-May-1988
ASSPQ726-09,EE-116-88 P1,"Plot 1_Site composition: 98% balsam fir (Abies balsamea (L.) Mill.), 1% red spruce (Picea rubens Sarg.), 1% red maple (Acer rubrum L.)",ASSPP,BOLDAAA1517,OTU-105,04-Apr-1988
ASSPQ731-09,EE-236-88 P1,"Plot 1_Site composition: 98% balsam fir (Abies balsamea (L.) Mill.), 1% red spruce (Picea rubens Sarg.), 1% red maple (Acer rubrum L.)",ASSPP,BOLDAAA1517,OTU-105,08-Apr-1988
ASSPQ734-09,EE-63-88 P2,"Plot 2_Site composition: 77% balsam fir (Abies balsamea (L.) Mill.), 12% red maple (Acer rubrum L), 8% red (Picea rubens Sarg.) and white spruce (Picea glauca Moench.), 1% eastern white pine (Pinus strobus L.) and 2% other hardwood species",ASSPP,BOLDAAA1517,OTU-105,01-Apr-1988
ASSPQ740-09,EE-285-88 P2,"Plot 2_Site composition: 77% balsam fir (Abies balsamea (L.) Mill.), 12% red maple (Acer rubrum L), 8% red (Picea rubens Sarg.) and white spruce (Picea glauca Moench.), 1% eastern white pine (Pinus strobus L.) and 2% other hardwood species",ASSPP,BOLDAAA1517,OTU-105,13-Apr-1988
ASSPQ737-09,EE-161-88 P2,"Plot 2_Site composition: 77% balsam fir (Abies balsamea (L.) Mill.), 12% red maple (Acer rubrum L), 8% red (Picea rubens Sarg.) and white spruce (Picea glauca Moench.), 1% eastern white pine (Pinus strobus L.) and 2% other hardwood species",ASSPP,BOLDAAA1517,OTU-105,04-Apr-1988
ASSPQ738-09,EE-211-88 P2,"Plot 2_Site composition: 77% balsam fir (Abies balsamea (L.) Mill.), 12% red maple (Acer rubrum L), 8% red (Picea rubens Sarg.) and white spruce (Picea glauca Moench.), 1% eastern white pine (Pinus strobus L.) and 2% other hardwood species",ASSPP,BOLDAAA1517,OTU-105,05-Apr-1988
