ProcessID,SampleID,CollectionNotes,HWGrad,Plot,Method,HWGrad_Description,CONTIG,Project Code,Process ID,Sample ID,Field ID,BIN,Catalog Num,COI-5P Seq. Length,# ambiguities
ASSBW024-18,CCDB-30294-B12,HWBF Plot 9|Malaise|Hardwood dominated stand,HWBF,Plot 9,Malaise,Hardwood dominated stand,HWBFBOLD:AAA4401,ASSBW,ASSBW024-18,CCDB-30294-B12,M9,BOLD:AAA4401,,474,0
ASSBW211-18,BL-10540Q-E03,BFBF Plot 1|Malaise|Balsam fir dominated stand,BFBF,Plot 1,Malaise,Balsam fir dominated stand,BFBFBOLD:AAA5524,ASSBW,ASSBW211-18,BL-10540Q-E03,M1,BOLD:AAA5524,,658,0
ASSBW065-18,CCDB-30294-F05,HWBF Plot 8|Malaise|Hardwood dominated stand,HWBF,Plot 8,Malaise,Hardwood dominated stand,HWBFBOLD:AAA6279,ASSBW,ASSBW065-18,CCDB-30294-F05,M8,BOLD:AAA6279,,658,0
ASSBW229-18,BL-10540Q-G05,BFMX Plot 4|Malaise|Mixed stand,BFMX,Plot 4,Malaise,Mixed stand,BFMXBOLD:AAA6279,ASSBW,ASSBW229-18,BL-10540Q-G05,M4,BOLD:AAA6279,,658,0
ASSBW016-18,CCDB-30294-B04,HWBF Plot 8|Malaise|Hardwood dominated stand,HWBF,Plot 8,Malaise,Hardwood dominated stand,HWBFBOLD:AAA6280,ASSBW,ASSBW016-18,CCDB-30294-B04,M8,BOLD:AAA6280,,658,0
ASSBW055-18,CCDB-30294-E07,BFBF Plot 1|Malaise|Balsam fir dominated stand,BFBF,Plot 1,Malaise,Balsam fir dominated stand,BFBFBOLD:AAA6280,ASSBW,ASSBW055-18,CCDB-30294-E07,M1,BOLD:AAA6280,,658,0
ASSBW178-18,CCDB-30296-G11,BFBF Plot 1|Malaise|Balsam fir dominated stand,BFBF,Plot 1,Malaise,Balsam fir dominated stand,BFBFBOLD:AAA6280,ASSBW,ASSBW178-18,CCDB-30296-G11,M1,BOLD:AAA6280,,658,0
ASSBW267-18,BL-10540Q-E10,HWBF Plot 7|Malaise|Hardwood dominated stand,HWBF,Plot 7,Malaise,Hardwood dominated stand,HWBFBOLD:AAA6280,ASSBW,ASSBW267-18,BL-10540Q-E10,M7,BOLD:AAA6280,,658,0
ASSBW371-18,CCDB-30293-H02,HWBF Plot 8|Malaise|Hardwood dominated stand,HWBF,Plot 8,Malaise,Hardwood dominated stand,HWBFBOLD:AAA6280,ASSBW,ASSBW371-18,CCDB-30293-H02,M8,BOLD:AAA6280,,658,0
ASNBA751-16,Acadia15-16-151,BFMX Plot 4|Reared|Mixed stand,BFMX,Plot 4,Reared,Mixed stand,BFMXBOLD:AAA6374,ASNBA,ASNBA751-16,Acadia15-16-151,Acadia15-16-151,BOLD:AAA6374,,658,0
ASSBW027-18,CCDB-30294-C03,BFBF Plot 2|Malaise|Balsam fir dominated stand,BFBF,Plot 2,Malaise,Balsam fir dominated stand,BFBFBOLD:AAA7527,ASSBW,ASSBW027-18,CCDB-30294-C03,M2,BOLD:AAA7527,,658,0
ASSBW197-18,BL-10540Q-G01,BFBF Plot 3|Malaise|Balsam fir dominated stand,BFBF,Plot 3,Malaise,Balsam fir dominated stand,BFBFBOLD:AAA7527,ASSBW,ASSBW197-18,BL-10540Q-G01,M3,BOLD:AAA7527,,658,0
